,광역시도,시도,20~39세남자,20~39세여자,20~39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
48,경기,만안구,33594,32133,65727,15455,18622,34077,115363,117607,232970,1.8859054494233647,False
49,경기,분당구,57979,63839,121818,24227,30603,54830,216999,233950,450949,2.328615721320445,False
50,경기,상록구,48918,45514,94432,14982,19819,34801,165899,163934,329833,2.615671963449326,False
51,경기,수정구,33338,31237,64575,14601,18548,33149,110653,110743,221396,1.8846420706506983,False
52,경기,수지구,41310,45783,87093,19937,24237,44174,166498,176902,343400,2.072848281794721,False
53,경기,영통구,57268,56846,114114,10257,13644,23901,174245,175263,349508,4.756788418894607,False
54,경기,일산동구,34167,38009,72176,14112,18565,32677,131746,142446,274192,2.3263457477736633,False
55,경기,일산서구,32616,35939,68555,14017,19482,33499,134373,145939,280312,2.1456759903280695,False
56,경기,장안구,36949,34506,71455,14175,18399,32574,130792,132165,262957,2.118622214035734,False
57,경기,중원구,30772,28801,59573,13432,16739,30171,104312,104202,208514,1.9091843160650956,False
58,경기,처인구,33063,30645,63708,14413,17549,31962,120595,117156,237751,1.9175896376947625,False
59,경기,팔달구,25644,24039,49683,10421,13576,23997,82671,83544,166215,2.0035004375546945,False
60,경남, 거제시,30351,27750,58101,10341,12875,23216,120346,112239,232585,2.390592694693315,False
61,경남, 거창군,5024,4421,9445,6123,9302,15425,27277,29126,56403,0.57322528363047,True
62,경남, 고성군,4067,3285,7352,5840,8432,14272,23118,23720,46838,0.4603419282511211,True
63,경남, 김해시,65869,63358,129227,22611,30136,52747,254664,254750,509414,2.4023356778584564,False
64,경남, 남해군,2688,2145,4833,5888,8980,14868,18754,20483,39237,0.2885391444713479,True
65,경남, 밀양시,8791,7788,16579,10779,15277,26056,46631,49576,96207,0.5977893767270495,True
66,경남, 사천시,11429,9440,20869,8821,12827,21648,51358,51701,103059,0.8721359940872137,True
67,경남, 산청군,2135,1858,3993,4533,6630,11163,15203,16108,31311,0.33288542506494667,True
68,경남, 양산시,43569,42376,85945,17991,23065,41056,163340,166381,329721,2.064302416212003,False
69,경남, 의령군,1744,1579,3323,3370,5343,8713,11453,12458,23911,0.3624469183977964,True
70,경남, 진주시,42241,39596,81837,22070,30775,52845,163346,168862,332208,1.4985712934052418,False
